Number of Ants,Alpha,Beta,Best Cost,Execution Time (s),Number of Vehicles
20,0.5,1,7449.00845786283,6.9176185131073,30
20,0.5,2,7481.312630578774,6.731014728546143,30
20,0.5,5,8385.624613615539,6.687758922576904,31
20,1.0,1,4211.121052164424,6.462674379348755,27
20,1.0,2,6269.22074456299,7.328476190567017,29
20,1.0,5,7215.435640764423,6.509626626968384,30
20,2.0,1,5194.144787610552,6.430828094482422,28
20,2.0,2,6174.1063102092885,6.626794815063477,29
20,2.0,5,6220.686315432336,7.142274856567383,29
20,5.0,1,7243.198333238572,6.809265375137329,30
20,5.0,2,9350.81903040639,6.629136800765991,32
20,5.0,5,8392.676511398517,6.5654847621917725,31
40,0.5,1,5504.400345537069,12.632800817489624,28
40,0.5,2,7500.076862353555,13.538025856018066,30
40,0.5,5,9345.894908489194,13.788651943206787,32
40,1.0,1,5225.113602424048,13.287794589996338,28
40,1.0,2,4221.171824349818,12.806871891021729,27
40,1.0,5,6119.215328313032,13.419729709625244,29
40,2.0,1,5237.429730271702,15.756470680236816,28
40,2.0,2,5166.839102777856,15.512265920639038,28
40,2.0,5,5173.170821113803,13.773926734924316,28
40,5.0,1,6191.616969142269,13.804298400878906,29
40,5.0,2,8301.846386733407,17.441291093826294,31
40,5.0,5,8345.398294519226,14.83505392074585,31
60,0.5,1,6606.9979670014,21.81359052658081,29
60,0.5,2,7393.55025342053,22.108168363571167,30
60,0.5,5,9320.180172598208,23.099335432052612,32
60,1.0,1,5211.542793733672,20.290770769119263,28
60,1.0,2,6257.445491378574,19.775752782821655,29
60,1.0,5,7229.605684286362,20.434128999710083,30
60,2.0,1,4081.9601677580067,20.958608627319336,27
60,2.0,2,4091.967560397148,19.319793939590454,27
60,2.0,5,5158.083010206683,20.02609610557556,28
60,5.0,1,5280.535559616183,21.097575187683105,28
60,5.0,2,8268.402479099692,19.45494294166565,31
60,5.0,5,7222.880768101255,20.514134883880615,30
80,0.5,1,6381.501472811593,26.9600727558136,29
80,0.5,2,6340.849506122264,26.47511386871338,29
80,0.5,5,8336.66670989868,27.816542863845825,31
80,1.0,1,4188.790871141624,25.669930934906006,27
80,1.0,2,6200.395982544491,26.74904179573059,29
80,1.0,5,8256.339905185188,27.851027011871338,31
80,2.0,1,5105.015751920786,25.445841789245605,28
80,2.0,2,5115.962331563052,27.493622303009033,28
80,2.0,5,5144.572280585024,26.25835919380188,28
80,5.0,1,5269.896197715454,26.743301153182983,28
80,5.0,2,9272.551967508552,27.564619064331055,32
80,5.0,5,7249.302639956106,25.321799516677856,30
100,0.5,1,6251.920546576497,33.90685510635376,29
100,0.5,2,7390.821547685642,32.51593995094299,30
100,0.5,5,9340.24912061679,37.94128942489624,32
100,1.0,1,5216.808736303006,32.06196618080139,28
100,1.0,2,6196.933071093765,36.17587471008301,29
100,1.0,5,7271.450823087653,39.6598596572876,30
100,2.0,1,4103.3482876751805,38.31539297103882,27
100,2.0,2,5107.383755673101,34.146501302719116,28
100,2.0,5,5159.049986360551,32.982506275177,28
100,5.0,1,6097.362108071393,34.08164572715759,29
100,5.0,2,8273.16908489613,34.12260699272156,31
100,5.0,5,8245.758041531575,32.36576199531555,31
